channel,context,test,source,target,minimum_family_adjusted_p,maximum_absolute_effect,significant_cells,tested_cells
endpoint_mean,baseline,effect,URX,AWA,0.0108795166015625,0.1228833198547363,2,24
endpoint_mean,baseline,effect,RIA,AVH,0.0110626220703125,0.175466239452362,3,24
endpoint_mean,baseline,effect,ADL,AVJ,0.011260986328125,0.1453490555286407,3,24
endpoint_mean,baseline,effect,ADL,RMF,0.0114593505859375,0.1400716006755828,4,24
endpoint_mean,baseline,effect,ASG,AVK,0.0115966796875,0.1467728614807129,5,24
endpoint_mean,baseline,effect,RMH,AVB,0.0118408203125,0.1810510009527206,5,24
endpoint_mean,baseline,effect,ADL,AIM,0.011871337890625,0.2129406034946441,9,24
endpoint_mean,baseline,effect,ASJ,AUA,0.011871337890625,0.1145724058151245,5,24
endpoint_mean,baseline,effect,AVD,ASJ,0.0119171142578125,0.1583549827337265,8,24
endpoint_mean,baseline,effect,RMF,CEP,0.011962890625,0.1271880865097046,4,24
endpoint_mean,baseline,effect,IL1,BAG,0.01202392578125,0.0977072939276695,2,24
endpoint_mean,baseline,effect,RIP,AVJ,0.0120849609375,0.0949162617325782,1,24
endpoint_mean,baseline,effect,RIP,ASG,0.0121002197265625,0.1102319732308387,5,24
endpoint_mean,baseline,effect,RIP,AVH,0.0124664306640625,0.1153388023376464,2,24
endpoint_mean,baseline,effect,RMH,AVH,0.0126953125,0.161973088979721,1,24
endpoint_mean,baseline,effect,SIA,ADL,0.012908935546875,0.1135001555085182,1,24
endpoint_mean,baseline,effect,AIZ,ALA,0.013153076171875,0.0823278799653053,1,24
endpoint_mean,baseline,effect,RIC,CEP,0.0134429931640625,0.095356561243534,7,24
endpoint_mean,baseline,effect,SMB,SAA,0.0136871337890625,0.1379085034132003,2,24
endpoint_mean,baseline,effect,AUA,AIM,0.014129638671875,0.1211177334189415,4,24
endpoint_mean,baseline,effect,AIY,RMF,0.014190673828125,0.117410160601139,3,24
endpoint_mean,baseline,effect,URA,AIM,0.0144500732421875,0.0994420498609542,2,24
endpoint_mean,baseline,effect,SAA,AVK,0.015777587890625,0.0971893817186355,2,24
endpoint_mean,baseline,effect,OLL,BAG,0.016021728515625,0.1234378665685653,2,24
endpoint_mean,baseline,effect,CEP,IL2,0.0161895751953125,0.0771258175373077,2,24
endpoint_mean,baseline,effect,AVK,RIC,0.0162811279296875,0.0785819590091705,3,24
endpoint_mean,baseline,effect,RMD,RME,0.0164031982421875,0.2153302580118179,2,24
endpoint_mean,baseline,effect,AVK,AVD,0.016754150390625,0.1007677167654037,3,24
endpoint_mean,baseline,effect,AVD,SMB,0.017242431640625,0.1220350414514541,6,24
endpoint_mean,baseline,effect,ASK,AWA,0.01739501953125,0.1218833774328231,1,24
endpoint_mean,baseline,effect,SIA,ADE,0.0174713134765625,0.134250208735466,3,24
endpoint_mean,baseline,effect,URX,RIA,0.01898193359375,0.112819492816925,12,24
endpoint_mean,baseline,effect,SIA,AIY,0.01910400390625,0.1534576416015625,6,24
endpoint_mean,baseline,effect,URB,OLQ,0.01922607421875,0.164782240986824,11,24
endpoint_mean,baseline,effect,ADL,OLL,0.019622802734375,0.1186805218458175,2,24
endpoint_mean,baseline,effect,ASK,URA,0.02020263671875,0.1266324818134308,3,24
endpoint_mean,baseline,effect,URA,URY,0.0202178955078125,0.136426031589508,6,24
endpoint_mean,baseline,effect,ADF,CEP,0.0204315185546875,0.0995128452777862,7,24
endpoint_mean,baseline,effect,SMB,AVD,0.0211334228515625,0.0659777522087097,1,24
endpoint_mean,baseline,effect,IL2,RIP,0.021209716796875,0.0711721777915954,2,24
endpoint_mean,baseline,effect,SAA,ASI,0.021331787109375,0.1006547659635543,1,24
endpoint_mean,baseline,effect,AVD,RIH,0.0214385986328125,0.1087642386555671,4,24
endpoint_mean,baseline,effect,AIZ,FLP,0.021697998046875,0.126041367650032,3,24
endpoint_mean,baseline,effect,ASJ,AWC,0.0218353271484375,0.1049065738916397,1,24
endpoint_mean,baseline,effect,URB,AWA,0.02227783203125,0.1043387055397033,3,24
endpoint_mean,baseline,effect,RIC,IL1,0.02301025390625,0.0834754481911659,2,24
endpoint_mean,baseline,effect,SMB,RMF,0.023101806640625,0.0971121862530708,4,24
endpoint_mean,baseline,effect,CEP,AVK,0.023773193359375,0.1186210811138153,5,24
endpoint_mean,baseline,effect,RIP,AVB,0.024444580078125,0.0993107184767723,2,24
endpoint_mean,baseline,effect,RIP,AUA,0.0252227783203125,0.0895742177963256,1,24
endpoint_mean,baseline,effect,AIM,AVK,0.0255279541015625,0.1203586086630821,3,24
endpoint_mean,baseline,effect,ADL,AWA,0.0260467529296875,0.0837722197175026,1,24
endpoint_mean,baseline,effect,SIA,AVK,0.0261077880859375,0.1539114564657211,7,24
endpoint_mean,baseline,effect,RIC,URB,0.0264434814453125,0.0959260985255241,2,24
endpoint_mean,baseline,effect,RMF,ADE,0.02764892578125,0.1027853488922119,5,24
endpoint_mean,baseline,effect,URX,RID,0.0299224853515625,0.1005733981728553,1,24
endpoint_mean,baseline,effect,ASG,RIV,0.030242919921875,0.1112378239631652,1,24
endpoint_mean,baseline,effect,SMB,IL2,0.031036376953125,0.0487431958317756,2,24
endpoint_mean,baseline,effect,AVJ,ASH,0.031097412109375,0.0975039899349212,1,24
endpoint_mean,baseline,effect,ADL,AVH,0.031829833984375,0.1967860013246536,1,24
endpoint_mean,baseline,effect,RIC,AVD,0.0319671630859375,0.122667372226715,4,24
endpoint_mean,baseline,effect,ADL,ADE,0.032257080078125,0.1533332020044326,3,24
endpoint_mean,baseline,effect,RIC,RID,0.0324249267578125,0.0965595617890358,2,24
endpoint_mean,baseline,effect,URA,RIP,0.0325775146484375,0.1432453989982605,1,24
endpoint_mean,baseline,effect,AIY,SAA,0.03314208984375,0.08257457613945,1,24
endpoint_mean,baseline,effect,ASG,FLP,0.033203125,0.0689538940787315,1,24
endpoint_mean,baseline,effect,IL1,OLQ,0.0332183837890625,0.1239503696560859,1,24
endpoint_mean,baseline,effect,RIA,BAG,0.0355682373046875,0.1035963967442512,1,24
endpoint_mean,baseline,effect,ADL,AVD,0.035797119140625,0.178655132651329,1,24
endpoint_mean,baseline,effect,URA,FLP,0.036468505859375,0.1200631484389305,2,24
endpoint_mean,baseline,effect,RIA,IL1,0.037139892578125,0.1003096178174018,2,24
endpoint_mean,baseline,effect,RIA,URY,0.0371856689453125,0.1426504105329513,1,24
endpoint_mean,baseline,effect,URB,ADE,0.038177490234375,0.0852331146597862,2,24
