source,target,lag,horizon,recording,effect
URA,OLQ,4,8,OH16230:0928_08,0.26662322878837585
URA,OLQ,4,16,OH16230:0928_08,0.30994972586631775
URA,OLQ,4,32,OH16230:0928_08,0.3473209738731384
URA,OLQ,4,1,OH16230:0928_11,0.36719197034835815
URA,OLQ,4,2,OH16230:0928_11,0.36760222911834717
URA,OLQ,4,4,OH16230:0928_11,0.3605216145515442
URA,OLQ,4,8,OH16230:0928_11,0.35647284984588623
URA,OLQ,4,16,OH16230:0928_11,0.3476427495479584
URA,OLQ,4,32,OH16230:0928_11,0.2945612668991089
URA,OLQ,4,1,OH16230:0928_13,0.08615221828222275
URA,OLQ,4,2,OH16230:0928_13,0.08476246893405914
URA,OLQ,4,4,OH16230:0928_13,0.0878104418516159
URA,OLQ,4,8,OH16230:0928_13,0.08948948234319687
URA,OLQ,4,16,OH16230:0928_13,0.07869090139865875
URA,OLQ,4,32,OH16230:0928_13,0.0718655064702034
URA,OLQ,4,1,OH16230:0929_03,0.18667933344841003
URA,OLQ,4,2,OH16230:0929_03,0.19285541772842407
URA,OLQ,4,4,OH16230:0929_03,0.20168471336364746
URA,OLQ,4,8,OH16230:0929_03,0.21049228310585022
URA,OLQ,4,16,OH16230:0929_03,0.23402093350887299
URA,OLQ,4,32,OH16230:0929_03,0.24829524755477905
URA,OLQ,4,1,OH16230:0929_05,0.16922742128372192
URA,OLQ,4,2,OH16230:0929_05,0.17103628814220428
URA,OLQ,4,4,OH16230:0929_05,0.17837631702423096
URA,OLQ,4,8,OH16230:0929_05,0.17884176969528198
URA,OLQ,4,16,OH16230:0929_05,0.1763806939125061
URA,OLQ,4,32,OH16230:0929_05,0.13475309312343597
URA,OLQ,4,1,OH16230:0929_06,0.1390436738729477
URA,OLQ,4,2,OH16230:0929_06,0.1356688141822815
URA,OLQ,4,4,OH16230:0929_06,0.12455770373344421
URA,OLQ,4,8,OH16230:0929_06,0.10859048366546631
URA,OLQ,4,16,OH16230:0929_06,0.08080796152353287
URA,OLQ,4,32,OH16230:0929_06,0.07324066758155823
URA,OLQ,4,1,OH16230:0929_07,0.2352372705936432
URA,OLQ,4,2,OH16230:0929_07,0.24222952127456665
URA,OLQ,4,4,OH16230:0929_07,0.2550380527973175
URA,OLQ,4,8,OH16230:0929_07,0.26113685965538025
URA,OLQ,4,16,OH16230:0929_07,0.2574446499347687
URA,OLQ,4,32,OH16230:0929_07,0.22772541642189026
URA,OLQ,4,1,OH16230:1030_03,0.12996000051498413
URA,OLQ,4,2,OH16230:1030_03,0.1248871237039566
URA,OLQ,4,4,OH16230:1030_03,0.1128113716840744
URA,OLQ,4,8,OH16230:1030_03,0.099007248878479
URA,OLQ,4,16,OH16230:1030_03,0.07287871837615967
URA,OLQ,4,32,OH16230:1030_03,0.028082679957151413
URA,OLQ,4,1,OH16230:1104_08,0.31933459639549255
URA,OLQ,4,2,OH16230:1104_08,0.320560097694397
URA,OLQ,4,4,OH16230:1104_08,0.316959023475647
URA,OLQ,4,8,OH16230:1104_08,0.2993509769439697
URA,OLQ,4,16,OH16230:1104_08,0.25798192620277405
URA,OLQ,4,32,OH16230:1104_08,0.17702743411064148
URA,OLQ,8,1,OH16230:0924_01,0.3565978407859802
URA,OLQ,8,2,OH16230:0924_01,0.3551923632621765
URA,OLQ,8,4,OH16230:0924_01,0.35172978043556213
URA,OLQ,8,8,OH16230:0924_01,0.3450305759906769
URA,OLQ,8,16,OH16230:0924_01,0.32419881224632263
URA,OLQ,8,32,OH16230:0924_01,0.27624595165252686
URA,OLQ,8,1,OH16230:0924_03,0.22978447377681732
URA,OLQ,8,2,OH16230:0924_03,0.225375235080719
URA,OLQ,8,4,OH16230:0924_03,0.21849580109119415
URA,OLQ,8,8,OH16230:0924_03,0.20858901739120483
URA,OLQ,8,16,OH16230:0924_03,0.18891721963882446
URA,OLQ,8,32,OH16230:0924_03,0.1559230536222458
URA,OLQ,8,1,OH16230:0925_01,0.2849317491054535
URA,OLQ,8,2,OH16230:0925_01,0.2790068984031677
URA,OLQ,8,4,OH16230:0925_01,0.26792940497398376
URA,OLQ,8,8,OH16230:0925_01,0.2546459138393402
URA,OLQ,8,16,OH16230:0925_01,0.23674041032791138
URA,OLQ,8,32,OH16230:0925_01,0.2090020775794983
URA,OLQ,8,1,OH16230:0925_04,0.30782535672187805
URA,OLQ,8,2,OH16230:0925_04,0.3000291585922241
URA,OLQ,8,4,OH16230:0925_04,0.2842665910720825
URA,OLQ,8,8,OH16230:0925_04,0.25132572650909424
URA,OLQ,8,16,OH16230:0925_04,0.18808157742023468
URA,OLQ,8,32,OH16230:0925_04,0.08022090792655945
URA,OLQ,8,1,OH16230:0928_01,0.37830302119255066
URA,OLQ,8,2,OH16230:0928_01,0.3729218542575836
URA,OLQ,8,4,OH16230:0928_01,0.3639068007469177
URA,OLQ,8,8,OH16230:0928_01,0.33444395661354065
URA,OLQ,8,16,OH16230:0928_01,0.2902025878429413
URA,OLQ,8,32,OH16230:0928_01,0.20620957016944885
URA,OLQ,8,1,OH16230:0928_03,0.2182520478963852
URA,OLQ,8,2,OH16230:0928_03,0.22173690795898438
URA,OLQ,8,4,OH16230:0928_03,0.22726675868034363
URA,OLQ,8,8,OH16230:0928_03,0.23165392875671387
URA,OLQ,8,16,OH16230:0928_03,0.22519832849502563
URA,OLQ,8,32,OH16230:0928_03,0.1808040589094162
URA,OLQ,8,1,OH16230:0928_05,0.3717401623725891
URA,OLQ,8,2,OH16230:0928_05,0.37471574544906616
URA,OLQ,8,4,OH16230:0928_05,0.3805288076400757
URA,OLQ,8,8,OH16230:0928_05,0.3899368345737457
URA,OLQ,8,16,OH16230:0928_05,0.39296603202819824
URA,OLQ,8,32,OH16230:0928_05,0.33448946475982666
URA,OLQ,8,1,OH16230:0928_07,0.3112064003944397
URA,OLQ,8,2,OH16230:0928_07,0.3069239556789398
URA,OLQ,8,4,OH16230:0928_07,0.2987433075904846
URA,OLQ,8,8,OH16230:0928_07,0.2920173406600952
URA,OLQ,8,16,OH16230:0928_07,0.2647966146469116
URA,OLQ,8,32,OH16230:0928_07,0.2160639464855194
URA,OLQ,8,1,OH16230:0928_08,0.17033228278160095
URA,OLQ,8,2,OH16230:0928_08,0.17212283611297607
URA,OLQ,8,4,OH16230:0928_08,0.17554497718811035
URA,OLQ,8,8,OH16230:0928_08,0.18137091398239136
URA,OLQ,8,16,OH16230:0928_08,0.1852259635925293
URA,OLQ,8,32,OH16230:0928_08,0.1772421896457672
URA,OLQ,8,1,OH16230:0928_11,0.24863752722740173
URA,OLQ,8,2,OH16230:0928_11,0.25086483359336853
URA,OLQ,8,4,OH16230:0928_11,0.25479573011398315
URA,OLQ,8,8,OH16230:0928_11,0.2612612247467041
URA,OLQ,8,16,OH16230:0928_11,0.2715708315372467
URA,OLQ,8,32,OH16230:0928_11,0.24665963649749756
URA,OLQ,8,1,OH16230:0928_13,0.11508889496326447
URA,OLQ,8,2,OH16230:0928_13,0.1104251891374588
URA,OLQ,8,4,OH16230:0928_13,0.09769447147846222
URA,OLQ,8,8,OH16230:0928_13,0.07836312055587769
URA,OLQ,8,16,OH16230:0928_13,0.020291373133659363
URA,OLQ,8,32,OH16230:0928_13,-0.054318834096193314
URA,OLQ,8,1,OH16230:0929_03,0.10927511006593704
URA,OLQ,8,2,OH16230:0929_03,0.10938052088022232
URA,OLQ,8,4,OH16230:0929_03,0.1140257716178894
URA,OLQ,8,8,OH16230:0929_03,0.12376216053962708
URA,OLQ,8,16,OH16230:0929_03,0.13830099999904633
URA,OLQ,8,32,OH16230:0929_03,0.1271146833896637
URA,OLQ,8,1,OH16230:0929_05,0.15401121973991394
URA,OLQ,8,2,OH16230:0929_05,0.15095610916614532
URA,OLQ,8,4,OH16230:0929_05,0.14046165347099304
URA,OLQ,8,8,OH16230:0929_05,0.11720149219036102
URA,OLQ,8,16,OH16230:0929_05,0.07007405161857605
URA,OLQ,8,32,OH16230:0929_05,0.024791408330202103
URA,OLQ,8,1,OH16230:0929_06,0.201888769865036
URA,OLQ,8,2,OH16230:0929_06,0.20189999043941498
URA,OLQ,8,4,OH16230:0929_06,0.20022156834602356
URA,OLQ,8,8,OH16230:0929_06,0.1970996856689453
URA,OLQ,8,16,OH16230:0929_06,0.18178993463516235
URA,OLQ,8,32,OH16230:0929_06,0.15660545229911804
URA,OLQ,8,1,OH16230:0929_07,0.20286256074905396
URA,OLQ,8,2,OH16230:0929_07,0.20694655179977417
URA,OLQ,8,4,OH16230:0929_07,0.21320371329784393
