case_id,generator_seed,data_seed,model_seed,model_name,n,oracle_permuted_control_information_nats,model_permuted_control_information_nats,permuted_information_recovery_fraction,oracle_zero_control_difference_nats,model_zero_control_difference_nats,model_permuted_difference_se
296292cc71c4533f67ee,61,607,6001,gaussian_dsm,2048,0.27897134988362693,0.007114492356777191,0.02550259143006981,0.11793697099043962,-0.008428554981946945,0.006610513235068062
6dd00558ddc583dca65c,61,607,6007,gaussian_dsm,2048,0.2891566606621915,-0.005321375094354153,-0.018403086694139384,0.11566177124281275,-0.01659947633743286,0.006709986382998852
85061723ecc67cac5b20,67,601,6001,gaussian_dsm,2048,0.3026306727886564,0.005336973816156387,0.01763527063194777,0.13568753830429514,-0.014601854607462883,0.007407915803825986
3f19cdeb58cd184f1c39,67,601,6007,gaussian_dsm,2048,0.28060102569739914,-0.014282692223787308,-0.05090035643415573,0.12329277184040241,-0.018742453306913376,0.009785073792458826
f6ab3545aee36cf02532,67,607,6001,gaussian_dsm,2048,0.2646800531563349,-0.0075612980872392654,-0.028567691433752047,0.12100175377581138,-0.013717111200094223,0.0067866752080424555
956d137a979b69bb3f65,67,607,6007,gaussian_dsm,2048,0.26981566196034296,-0.003937015309929848,-0.014591500290700336,0.11882040664970234,-0.014084193855524063,0.0062041827125641205
c054bab30d4cecf30b6c,61,601,6001,gaussian_nll,2048,0.2662993783908838,0.00539883878082037,0.020273568843618403,0.12158990796219793,-0.00921180471777916,0.008066926561320357
09895c282634fe6ac387,61,601,6007,gaussian_nll,2048,0.2673853336265293,-0.0063713788986206055,-0.0238284531623557,0.13152688313079341,-0.01243424043059349,0.0076487270911490424
4f2234f2ad9ed386138b,61,607,6001,gaussian_nll,2048,0.27897134988362693,0.011516958475112915,0.04128366041859575,0.11793697099043962,-0.005884169600903988,0.00959959934159705
b5626a5f72c113314fcc,61,607,6007,gaussian_nll,2048,0.2891566606621915,-0.009085540659725666,-0.031420824403349604,0.11566177124281275,-0.02220349758863449,0.011104389347405754
f59a41e6e750d2ab3cf9,67,601,6001,gaussian_nll,2048,0.3026306727886564,-0.0001971125602722168,-0.0006513304102848534,0.13568753830429514,-0.013240635395050049,0.00953818413932709
957cce774ca7fcd5bbed,67,601,6007,gaussian_nll,2048,0.28060102569739914,-0.0034882910549640656,-0.012431497876012212,0.12329277184040241,-0.009580621495842934,0.007400372835031551
de9d173970fa0aa43d5a,67,607,6001,gaussian_nll,2048,0.2646800531563349,-0.014933519065380096,-0.056421021861286696,0.12100175377581138,-0.01774485595524311,0.009458361959514505
b8bdf3c04d0fe4b2695f,67,607,6007,gaussian_nll,2048,0.26981566196034296,-0.0007675644010305405,-0.0028447733369286613,0.11882040664970234,-0.017304712906479836,0.007674048127480978
