case_id,data_seed,energy_score_fair_exact,generator_id,generator_seed,model_seed,rejection_acceptance_rate,rejection_accepted_samples,rejection_attempts_per_slot_per_round,rejection_effective_proposals,rejection_generated_proposals,rejection_max_generated_proposals_in_one_batch,rejection_max_proposals_for_one_sample,rejection_proposal_batch_size_cap,rejection_rounds,rejection_seed,rejection_theoretical_acceptance_lower_bound,samples_per_second_exact,status,wall_seconds,g8_minus_acceptance,g8_plus_acceptance,g8_quartic_nrmse,g8_quartic_slope
cf89215456817d6e12af,607,1.7320433422739299,g3_matched_skew,67,6001,0.4486308871851041,6144,6,13695,37920,4092,15,4096,3,46610,0.1353352832366127,434506.92184491485,ok,0.02234658398083411,,,,
d1e3ec7918f004bc9acf,607,0.7153896463366131,g8_functional_shape,67,6001,0.1354945418458485,6144,6,45345,62976,4092,57,4096,10,46610,0.1353352832366127,166306.69645764676,ok,0.10939508301089518,0.13543182118767358,0.13679780909758868,1.00020047136,-0.0001990658332340481
d33e6cb44220ea52c76c,601,1.556162314057777,g1_gaussian_sanity,67,6007,0.3741322616002923,6144,6,16422,39300,4092,24,4096,4,46610,0.1353352832366127,394985.53542991803,ok,0.024133666011039168,,,,
d789803ec0c21dfbc087,607,1.194175033234495,g5_near_manifold,61,6001,0.14376637963309621,6144,6,42736,60396,4092,61,4096,11,46610,0.1353352832366127,165456.69277568458,ok,0.0552642080001533,,,,
d7a29d9f725dfdaadc09,607,1.4887171457589872,g1_gaussian_sanity,67,6007,0.35391705069124424,6144,6,17360,39870,4092,23,4096,4,46616,0.1353352832366127,391001.3681383918,ok,0.024139958986779675,,,,
d833a5bef157e9551190,607,2.395122798918857,g4_separated_modes,61,6001,0.21547310093287508,6144,6,28514,48084,4092,39,4096,7,46610,0.1353352832366127,320517.50210820884,ok,0.027667875023325905,,,,
e78c3ab4c643e64d5707,601,2.4020109861938184,g6_rough_history,67,6007,0.36849997001139567,6144,6,16673,39546,4092,19,4096,4,46610,0.1353352832366127,358983.34804315347,ok,0.026401084003737196,,,,
eddce87708f5689053be,601,2.261594143055749,g4_separated_modes,61,6001,0.2229479642934901,6144,6,27558,47274,4092,36,4096,6,46604,0.1353352832366127,328485.8855944918,ok,0.026971999992383644,,,,
ee63f17d2b9d287b1408,601,0.7277123023893806,g8_functional_shape,67,6001,0.13757277205553067,6144,6,44660,62850,4092,61,4096,11,46604,0.1353352832366127,164417.83448845122,ok,0.10727070798748173,0.13847194050033806,0.13856562922868743,0.9992286902840609,0.0007737771496416193
ef2d0e9bb3348d4bc53f,601,1.2238793347693082,g5_near_manifold,67,6001,0.14104683195592285,6144,6,43560,61770,4092,64,4096,11,46604,0.1353352832366127,154843.09984391945,ok,0.05928191699786112,,,,
f2270e3a3c04e2a336b7,601,1.824871683246494,g3_matched_skew,67,6001,0.4664793865310151,6144,6,13171,37800,4092,13,4096,3,46604,0.1353352832366127,415990.0788112836,ok,0.0230124160007108,,,,
f31f1916aa8e98b279ff,607,1.4640211773943737,g2_covariance,67,6001,0.3635287852789776,6144,6,16901,39492,4092,21,4096,4,46610,0.1353352832366127,389870.4003098453,ok,0.02496562502346933,,,,
f87950d6393394ec48b5,601,0.7145358191632295,g8_functional_shape,61,6007,0.13745888985837976,6144,6,44697,62460,4092,58,4096,10,46610,0.1353352832366127,167027.82184789388,ok,0.10818941699108109,0.13482554312047398,0.1354900598723165,1.0005314052332959,-0.0005286278721463576
fcb3f9d882e14da97687,607,3.2510896644738794,g7_concentrated_history,61,6007,0.29592524804932085,6144,6,20762,42258,4092,40,4096,7,46616,0.1353352832366127,351171.8215010965,ok,0.024794249999104068,,,,
