source,target,lag,horizon,recording,effect
DVA,DVB,4,16,SBTG:0929_05,0.5711694359779358
DVA,DVB,4,32,SBTG:0929_05,0.3585652709007263
DVA,DVB,4,1,SBTG:0929_06,0.832467794418335
DVA,DVB,4,2,SBTG:0929_06,0.8143755197525024
DVA,DVB,4,4,SBTG:0929_06,0.7801836729049683
DVA,DVB,4,8,SBTG:0929_06,0.7143243551254272
DVA,DVB,4,16,SBTG:0929_06,0.5964946746826172
DVA,DVB,4,32,SBTG:0929_06,0.38539278507232666
DVA,DVB,4,1,SBTG:0929_07,0.7855445146560669
DVA,DVB,4,2,SBTG:0929_07,0.7700663208961487
DVA,DVB,4,4,SBTG:0929_07,0.7373120784759521
DVA,DVB,4,8,SBTG:0929_07,0.678963303565979
DVA,DVB,4,16,SBTG:0929_07,0.5847494602203369
DVA,DVB,4,32,SBTG:0929_07,0.4248861074447632
DVA,DVB,4,1,SBTG:1030_03,0.7662460207939148
DVA,DVB,4,2,SBTG:1030_03,0.7544836401939392
DVA,DVB,4,4,SBTG:1030_03,0.7396466732025146
DVA,DVB,4,8,SBTG:1030_03,0.6981467604637146
DVA,DVB,4,16,SBTG:1030_03,0.6279504299163818
DVA,DVB,4,32,SBTG:1030_03,0.4590641260147095
DVA,DVB,4,1,SBTG:1104_08,0.6762439012527466
DVA,DVB,4,2,SBTG:1104_08,0.6674569845199585
DVA,DVB,4,4,SBTG:1104_08,0.6535607576370239
DVA,DVB,4,8,SBTG:1104_08,0.6136007308959961
DVA,DVB,4,16,SBTG:1104_08,0.5114393830299377
DVA,DVB,4,32,SBTG:1104_08,0.3234965205192566
DVA,DVB,4,1,SBTG:1104_10,0.7145597338676453
DVA,DVB,4,2,SBTG:1104_10,0.7043143510818481
DVA,DVB,4,4,SBTG:1104_10,0.6825731992721558
DVA,DVB,4,8,SBTG:1104_10,0.6284081339836121
DVA,DVB,4,16,SBTG:1104_10,0.5310472846031189
DVA,DVB,4,32,SBTG:1104_10,0.34928566217422485
DVA,DVB,8,1,SBTG:0924_01,0.5849848389625549
DVA,DVB,8,2,SBTG:0924_01,0.5716418027877808
DVA,DVB,8,4,SBTG:0924_01,0.5462638139724731
DVA,DVB,8,8,SBTG:0924_01,0.48627203702926636
DVA,DVB,8,16,SBTG:0924_01,0.3866775631904602
DVA,DVB,8,32,SBTG:0924_01,0.24053874611854553
DVA,DVB,8,1,SBTG:0924_02,0.6321130990982056
DVA,DVB,8,2,SBTG:0924_02,0.619303822517395
DVA,DVB,8,4,SBTG:0924_02,0.5957735776901245
DVA,DVB,8,8,SBTG:0924_02,0.5360731482505798
DVA,DVB,8,16,SBTG:0924_02,0.42895400524139404
DVA,DVB,8,32,SBTG:0924_02,0.26595354080200195
DVA,DVB,8,1,SBTG:0924_03,0.6651925444602966
DVA,DVB,8,2,SBTG:0924_03,0.6594114899635315
DVA,DVB,8,4,SBTG:0924_03,0.6534912586212158
DVA,DVB,8,8,SBTG:0924_03,0.6215527057647705
DVA,DVB,8,16,SBTG:0924_03,0.5498563647270203
DVA,DVB,8,32,SBTG:0924_03,0.4354719817638397
DVA,DVB,8,1,SBTG:0925_01,0.6702196598052979
DVA,DVB,8,2,SBTG:0925_01,0.6598005294799805
DVA,DVB,8,4,SBTG:0925_01,0.6340417861938477
DVA,DVB,8,8,SBTG:0925_01,0.577129602432251
DVA,DVB,8,16,SBTG:0925_01,0.45806965231895447
DVA,DVB,8,32,SBTG:0925_01,0.2436923086643219
DVA,DVB,8,1,SBTG:0925_04,0.7265355587005615
DVA,DVB,8,2,SBTG:0925_04,0.7055630683898926
DVA,DVB,8,4,SBTG:0925_04,0.6666852235794067
DVA,DVB,8,8,SBTG:0925_04,0.5957761406898499
DVA,DVB,8,16,SBTG:0925_04,0.4896061420440674
DVA,DVB,8,32,SBTG:0925_04,0.36005303263664246
DVA,DVB,8,1,SBTG:0928_01,0.657371997833252
DVA,DVB,8,2,SBTG:0928_01,0.650733232498169
DVA,DVB,8,4,SBTG:0928_01,0.6295397877693176
DVA,DVB,8,8,SBTG:0928_01,0.5901778340339661
DVA,DVB,8,16,SBTG:0928_01,0.4973113536834717
DVA,DVB,8,32,SBTG:0928_01,0.3323005735874176
DVA,DVB,8,1,SBTG:0928_03,0.6748658418655396
DVA,DVB,8,2,SBTG:0928_03,0.6638537645339966
DVA,DVB,8,4,SBTG:0928_03,0.6458474397659302
DVA,DVB,8,8,SBTG:0928_03,0.6025562882423401
DVA,DVB,8,16,SBTG:0928_03,0.49307703971862793
DVA,DVB,8,32,SBTG:0928_03,0.2771855294704437
DVA,DVB,8,1,SBTG:0928_05,0.882895290851593
DVA,DVB,8,2,SBTG:0928_05,0.8670849800109863
DVA,DVB,8,4,SBTG:0928_05,0.830776035785675
DVA,DVB,8,8,SBTG:0928_05,0.7599256038665771
DVA,DVB,8,16,SBTG:0928_05,0.6501524448394775
DVA,DVB,8,32,SBTG:0928_05,0.44729235768318176
DVA,DVB,8,1,SBTG:0928_07,0.6937046051025391
DVA,DVB,8,2,SBTG:0928_07,0.6786121129989624
DVA,DVB,8,4,SBTG:0928_07,0.6588934063911438
DVA,DVB,8,8,SBTG:0928_07,0.609684944152832
DVA,DVB,8,16,SBTG:0928_07,0.5016151666641235
DVA,DVB,8,32,SBTG:0928_07,0.29676276445388794
DVA,DVB,8,1,SBTG:0928_08,0.7440356612205505
DVA,DVB,8,2,SBTG:0928_08,0.7284694910049438
DVA,DVB,8,4,SBTG:0928_08,0.6972708702087402
DVA,DVB,8,8,SBTG:0928_08,0.6431479454040527
DVA,DVB,8,16,SBTG:0928_08,0.5479275584220886
DVA,DVB,8,32,SBTG:0928_08,0.3818954825401306
DVA,DVB,8,1,SBTG:0928_11,0.6823835372924805
DVA,DVB,8,2,SBTG:0928_11,0.6690430641174316
DVA,DVB,8,4,SBTG:0928_11,0.6472554206848145
DVA,DVB,8,8,SBTG:0928_11,0.6129490733146667
DVA,DVB,8,16,SBTG:0928_11,0.5424100756645203
