cohort,channel,context,source_lag_frames,horizon_frames,source_to_endpoint_frames,scope,reference,method,n_edges,n_positive,prevalence,auroc,auprc,source_macro_auroc,n_macro_sources
historical80,endpoint_mean,state_average,4,16,20,all_common,randi_wild_type,flow,1646,273,0.16585662211421628,0.6159101883792342,0.24678456159904336,0.5680938030725694,44
historical80,endpoint_mean,state_average,4,16,20,all_common,cook_struct,flow,6320,1267,0.2004746835443038,0.6036361841512329,0.297794266994913,0.576857491374781,80
historical80,endpoint_mean,state_average,4,16,20,all_common,cook_chem,flow,6320,1145,0.18117088607594936,0.5972479378942261,0.2663267157503164,0.5672838124447335,80
historical80,endpoint_mean,state_average,4,16,20,all_common,cook_gap,flow,6320,321,0.05079113924050633,0.6385114029908411,0.10148451808206307,0.6362752040699853,66
historical80,endpoint_mean,state_average,4,16,20,strong_fixed_support,randi_wild_type,flow,1051,139,0.13225499524262607,0.6014451596617443,0.20379021935457078,0.5348663419077305,27
historical80,endpoint_mean,state_average,4,16,20,strong_fixed_support,cook_struct,flow,4503,838,0.18609815678436598,0.5988916637091496,0.2728646963261268,0.5864759463203714,57
historical80,endpoint_mean,state_average,4,16,20,strong_fixed_support,cook_chem,flow,4503,746,0.16566733288918498,0.5906600797367701,0.23977435207987136,0.5749836497154581,57
historical80,endpoint_mean,state_average,4,16,20,strong_fixed_support,cook_gap,flow,4503,231,0.051299133910726186,0.6396610567958882,0.10951892689969789,0.653963609197292,47
historical80,endpoint_mean,state_average,4,32,36,all_common,randi_wild_type,flow,1646,273,0.16585662211421628,0.5930544328213665,0.2371516905298996,0.5462413286943836,44
historical80,endpoint_mean,state_average,4,32,36,all_common,cook_struct,flow,6320,1267,0.2004746835443038,0.5892432090402117,0.2866553440658879,0.556779438046427,80
historical80,endpoint_mean,state_average,4,32,36,all_common,cook_chem,flow,6320,1145,0.18117088607594936,0.5880243866421957,0.259231096431617,0.5558690273682048,80
historical80,endpoint_mean,state_average,4,32,36,all_common,cook_gap,flow,6320,321,0.05079113924050633,0.6109818926207328,0.09590668147234288,0.6049161581233558,66
historical80,endpoint_mean,state_average,4,32,36,strong_fixed_support,randi_wild_type,flow,1051,139,0.13225499524262607,0.5939038243089738,0.19545202762479208,0.5330129581564536,27
historical80,endpoint_mean,state_average,4,32,36,strong_fixed_support,cook_struct,flow,4503,838,0.18609815678436598,0.5749774523242828,0.260103553980934,0.5585341703543036,57
historical80,endpoint_mean,state_average,4,32,36,strong_fixed_support,cook_chem,flow,4503,746,0.16566733288918498,0.5729433743339511,0.2293906304287131,0.5578901458254111,57
historical80,endpoint_mean,state_average,4,32,36,strong_fixed_support,cook_gap,flow,4503,231,0.051299133910726186,0.602583823791689,0.10101684749687839,0.6191419485796492,47
historical80,endpoint_mean,state_average,8,1,9,all_common,randi_wild_type,flow,1646,273,0.16585662211421628,0.6530924768361038,0.2786377388605087,0.6135425482853578,44
historical80,endpoint_mean,state_average,8,1,9,all_common,cook_struct,flow,6320,1267,0.2004746835443038,0.6190780254948689,0.312003448517552,0.6014619548157419,80
historical80,endpoint_mean,state_average,8,1,9,all_common,cook_chem,flow,6320,1145,0.18117088607594936,0.6076540303356328,0.2750166119002753,0.5825306219446873,80
historical80,endpoint_mean,state_average,8,1,9,all_common,cook_gap,flow,6320,321,0.05079113924050633,0.6663452216075473,0.11424954563641869,0.6877684020802728,66
