channel,context,test,source,target,minimum_family_adjusted_p,maximum_absolute_effect,significant_cells,tested_cells
endpoint_mean,onset_minus_baseline,effect,ADA,AIA,1.0,0.0115612326189875,0,24
endpoint_log_sd,baseline,lag_minus_1,RIS,URX,1.0,0.0115543873980641,0,18
endpoint_log_sd,baseline,effect,IL2,AVK,1.0,0.0115479165688157,0,24
endpoint_mean,baseline,lag_minus_1,RIP,AWC,1.0,0.0115431500598788,0,18
endpoint_mean,baseline,lag_minus_1,URX,AIN,1.0,0.0115278353914618,0,18
endpoint_mean,onset_minus_baseline,lag_minus_1,ALN,OLL,1.0,0.0115252463147044,0,18
endpoint_mean,onset_minus_baseline,effect,AVK,AIZ,1.0,0.0115249454975128,0,24
endpoint_mean,baseline,lag_minus_1,AVF,ASH,1.0,0.0115233333781361,0,18
endpoint_log_sd,baseline,lag_minus_1,PLN,PVR,1.0,0.011521958746016,0,18
endpoint_mean,baseline,lag_minus_1,FLP,AVK,1.0,0.0115077290683984,0,18
endpoint_log_sd,baseline,lag_minus_1,DVC,RIR,1.0,0.0115052191540598,0,18
endpoint_mean,baseline,lag_minus_1,PHC,RMH,1.0,0.0115038296207785,0,18
endpoint_mean,onset_minus_baseline,lag_minus_1,ASG,URB,1.0,0.0115017490461468,0,18
endpoint_mean,onset_minus_baseline,effect,PVQ,SIA,1.0,0.0114893717691302,0,24
endpoint_log_sd,baseline,effect,AIM,LUA,1.0,0.0114868031814694,0,24
endpoint_mean,baseline,lag_minus_1,LUA,SIB,1.0,0.0114844869822263,0,18
endpoint_mean,onset_minus_baseline,effect,AVF,OLL,1.0,0.0114829502999782,0,24
endpoint_mean,baseline,lag_minus_1,RIA,ADE,1.0,0.0114798545837402,0,18
endpoint_log_sd,baseline,effect,AVF,ADE,1.0,0.0114771025255322,0,24
endpoint_mean,baseline,lag_minus_1,RMG,AVK,1.0,0.0114635750651359,0,18
endpoint_mean,onset_minus_baseline,lag_minus_1,PVW,PQR,1.0,0.011463088914752,0,18
endpoint_mean,baseline,effect,IL2,AWC,1.0,0.0114507433027029,0,24
endpoint_mean,baseline,lag_minus_1,PHA,ASK,1.0,0.0114487810060381,0,18
endpoint_mean,onset_minus_baseline,lag_minus_1,PVQ,ASK,1.0,0.0114478766918182,0,18
endpoint_mean,onset_minus_baseline,lag_minus_1,PVW,PVC,1.0,0.011446988210082,0,18
endpoint_log_sd,baseline,effect,AQR,SMB,1.0,0.0114393904805183,0,24
endpoint_mean,baseline,lag_minus_1,PVP,ASK,1.0,0.0114334989339113,0,18
