cohort,channel,context,lag,horizon,comparison,scope,n_edges,spearman,rmse,sign_agreement
historical80,endpoint_mean,state_average,4,4,generator_1_vs_2,strong,4503,0.7498671582327326,0.029046804,0.7854763491005996
historical80,endpoint_mean,state_average,4,4,independent_MC,all,6320,0.9346057503450078,0.015957268,0.8897151898734177
historical80,endpoint_mean,state_average,4,4,independent_MC,strong,4503,0.9420304966782284,0.01367966,0.8976238063513213
historical80,endpoint_mean,state_average,4,4,direct_N4096,all,6320,0.8648991203613153,0.023946282,0.8462025316455696
historical80,endpoint_mean,state_average,4,4,direct_N4096,strong,4503,0.865412382149078,0.022295626,0.8452143015767266
historical80,endpoint_mean,state_average,4,8,generator_0_vs_1,all,6320,0.7360515773403812,0.03511433,0.7783227848101266
historical80,endpoint_mean,state_average,4,8,generator_0_vs_1,strong,4503,0.7450516816909063,0.031154139,0.7814790139906729
historical80,endpoint_mean,state_average,4,8,generator_0_vs_2,all,6320,0.7459027684759467,0.034008026,0.7822784810126582
historical80,endpoint_mean,state_average,4,8,generator_0_vs_2,strong,4503,0.7455460329954198,0.030781364,0.7854763491005996
historical80,endpoint_mean,state_average,4,8,generator_1_vs_2,all,6320,0.7613184913155201,0.033230945,0.7931962025316456
historical80,endpoint_mean,state_average,4,8,generator_1_vs_2,strong,4503,0.7648179170213547,0.029748539,0.7992449478125694
historical80,endpoint_mean,state_average,4,8,independent_MC,all,6320,0.9459398680077952,0.015449371,0.9030063291139241
historical80,endpoint_mean,state_average,4,8,independent_MC,strong,4503,0.9517042443810596,0.0132376505,0.9091716633355541
historical80,endpoint_mean,state_average,4,8,direct_N4096,all,6320,0.8704226827355934,0.025369104,0.8504746835443038
historical80,endpoint_mean,state_average,4,8,direct_N4096,strong,4503,0.8696534921408619,0.02391216,0.8494337108594271
historical80,endpoint_mean,state_average,4,16,generator_0_vs_1,all,6320,0.7431423051048288,0.038013097,0.7889240506329114
historical80,endpoint_mean,state_average,4,16,generator_0_vs_1,strong,4503,0.7502757444779261,0.032998182,0.7861425716189208
historical80,endpoint_mean,state_average,4,16,generator_0_vs_2,all,6320,0.7510756298674442,0.036803275,0.7917721518987342
historical80,endpoint_mean,state_average,4,16,generator_0_vs_2,strong,4503,0.7491701564236315,0.032633092,0.7939151676660005
historical80,endpoint_mean,state_average,4,16,generator_1_vs_2,all,6320,0.7610849052395728,0.035938375,0.8006329113924051
historical80,endpoint_mean,state_average,4,16,generator_1_vs_2,strong,4503,0.7644591362047092,0.031607706,0.8083499888962914
historical80,endpoint_mean,state_average,4,16,independent_MC,all,6320,0.9571323395764125,0.014927848,0.914873417721519
historical80,endpoint_mean,state_average,4,16,independent_MC,strong,4503,0.9602114077055243,0.012818928,0.9184987785920498
historical80,endpoint_mean,state_average,4,16,direct_N4096,all,6320,0.8693366616844702,0.027797528,0.8520569620253164
historical80,endpoint_mean,state_average,4,16,direct_N4096,strong,4503,0.8652767671992269,0.02621595,0.8538751943149012
historical80,endpoint_mean,state_average,4,32,generator_0_vs_1,all,6320,0.7107351641980689,0.043748416,0.7806962025316456
historical80,endpoint_mean,state_average,4,32,generator_0_vs_1,strong,4503,0.7155512386089661,0.036216274,0.7801465689540307
historical80,endpoint_mean,state_average,4,32,generator_0_vs_2,all,6320,0.7172276415262281,0.042310067,0.777373417721519
historical80,endpoint_mean,state_average,4,32,generator_0_vs_2,strong,4503,0.7120282467793362,0.035822842,0.7790361980901621
historical80,endpoint_mean,state_average,4,32,generator_1_vs_2,all,6320,0.7213710180439298,0.041379772,0.7780063291139241
historical80,endpoint_mean,state_average,4,32,generator_1_vs_2,strong,4503,0.7201789954004008,0.035024595,0.7852542749278258
historical80,endpoint_mean,state_average,4,32,independent_MC,all,6320,0.9634402638368587,0.014299226,0.9183544303797468
historical80,endpoint_mean,state_average,4,32,independent_MC,strong,4503,0.9640113998441744,0.0124385785,0.9209415944925605
historical80,endpoint_mean,state_average,4,32,direct_N4096,all,6320,0.8360077887952848,0.0339017,0.8310126582278481
historical80,endpoint_mean,state_average,4,32,direct_N4096,strong,4503,0.8252201830622318,0.03151207,0.8278925161003775
historical80,endpoint_mean,state_average,8,1,generator_0_vs_1,all,6320,0.7295747904154162,0.03429684,0.7780063291139241
historical80,endpoint_mean,state_average,8,1,generator_0_vs_1,strong,4503,0.7434705690084866,0.030233344,0.7803686431268043
historical80,endpoint_mean,state_average,8,1,generator_0_vs_2,all,6320,0.7345590666169134,0.033116654,0.777373417721519
historical80,endpoint_mean,state_average,8,1,generator_0_vs_2,strong,4503,0.7351703995862834,0.029816763,0.7805907172995781
historical80,endpoint_mean,state_average,8,1,generator_1_vs_2,all,6320,0.7481299871436147,0.032705545,0.7768987341772152
