generator_id,model_name,metric_id,estimand,noise_sigma_standardized,centering,median,q25,q75,n
g3_matched_skew,ratio_critic,centering_error,clean,,none,0.2741398929910823,0.19325593760897747,0.3243571355595637,8
g3_matched_skew,ratio_critic,finite_ratio_absolute_rmse,clean,,none,0.021989658499791953,0.021066885428491375,0.023178714262483475,8
g3_matched_skew,ratio_critic,finite_ratio_nrmse,clean,,none,1.0045168947541705,0.9530181867056875,1.0663049002365168,8
g3_matched_skew,ratio_critic,native_validation_loss,native_objective,,none,0.6939077973365784,0.6936026513576508,0.694779559969902,8
g3_matched_skew,ratio_critic,tangent_absolute_rms,clean,,none,0.09413449896474049,0.08813510684047549,0.10457187210296588,8
g3_matched_skew,ratio_critic,tangent_cosine,clean,,none,0.05581604449721115,-0.013422663440994926,0.22100824337282848,8
g3_matched_skew,ratio_critic,tangent_eval_ms_per_example,clean,,none,0.0053421249504026005,0.005161124818187025,0.0056961251857500506,8
g3_matched_skew,ratio_critic,tangent_nrmse,clean,,none,1.4558950523551693,1.31825777927509,1.5633597545964824,8
g4_separated_modes,affine_flow,centering_error,clean,,none,0.401731784042465,0.34298940175653814,0.5110568152780772,8
g4_separated_modes,affine_flow,energy_score_fair,clean,,none,2.313205567084592,2.297232866515273,2.3295673543253184,8
g4_separated_modes,affine_flow,energy_score_v,clean,,none,2.347483483238989,2.3334789231533706,2.364287564224305,8
g4_separated_modes,affine_flow,finite_ratio_absolute_rmse,clean,,none,0.07311852114933565,0.06785902876688255,0.0792704800419845,8
g4_separated_modes,affine_flow,finite_ratio_nrmse,clean,,none,0.6883556467988632,0.6787218319171975,0.8126304222262843,8
g4_separated_modes,affine_flow,native_validation_loss,native_objective,,none,8.420677185058594,8.32785701751709,8.479262113571167,8
g4_separated_modes,affine_flow,nll_original,clean,,none,10.19322681427002,10.091539859771729,10.28745436668396,8
g4_separated_modes,affine_flow,samples_per_second,clean,,none,450355.08386375126,426594.3241244302,461857.7738789409,8
g4_separated_modes,affine_flow,tangent_absolute_rms,clean,,none,0.3976641044341769,0.35940788884254227,0.4186936056555486,8
g4_separated_modes,affine_flow,tangent_cosine,clean,,none,0.5581169274979114,0.5457291048040254,0.5654437524531359,8
