law,delta,generator_id,model_name,method,metric_id,median,q25,q75,n
clean,0.12,g1_location,gaussian_nll,history_tangent_finite_target,witness_nrmse,0.526386982803031,0.49052483816479325,0.5935395682289111,8
clean,0.12,g1_location,gaussian_nll,signed_classifier,channel_readout_nrmse,0.6462097432662006,0.6175091931181402,0.6950715493995221,8
clean,0.12,g1_location,gaussian_nll,signed_classifier,witness_nrmse,0.6544038127119765,0.6134510158279196,0.6856712902614734,8
clean,0.12,g1_location,gaussian_nll,signed_riesz_dictionary,channel_readout_nrmse,2.2156672843778766,1.9277362571985646,2.6340921574910556,8
clean,0.12,g1_location,gaussian_nll,signed_riesz_dictionary,witness_nrmse,2.3793208787766815,2.266823721875926,2.6065565132206747,8
clean,0.12,g1_location,mean,direct_coupled_samples,channel_readout_nrmse,0.3440710124257135,0.2946217216179835,0.38672651708942424,8
clean,0.12,g1_location,mean,signed_classifier,channel_readout_nrmse,0.6539969625350237,0.5796088950363921,0.7214413094501133,8
clean,0.12,g1_location,mean,signed_classifier,witness_nrmse,0.6458135706820232,0.6148306107172206,0.6647193461990918,8
clean,0.12,g1_location,mean,signed_riesz_dictionary,channel_readout_nrmse,2.441360736624201,2.189943417705657,2.6806269276135395,8
clean,0.12,g1_location,mean,signed_riesz_dictionary,witness_nrmse,2.5109902785154334,2.3604548791547906,2.6129379227872893,8
clean,0.12,g1_location,oracle_predictive_law,direct_coupled_samples,channel_readout_nrmse,0.1160400454412292,0.10812617295447159,0.12456167820407077,4
clean,0.12,g1_location,oracle_predictive_law,oracle_finite_witness,channel_readout_nrmse,0.3705809548491369,0.3624037135120739,0.3885347608634502,4
clean,0.12,g1_location,oracle_predictive_law,oracle_finite_witness,witness_nrmse,0.0,0.0,0.0,4
clean,0.12,g1_location,oracle_predictive_law,oracle_infinitesimal_tangent,channel_readout_nrmse,0.3883790624210395,0.37570075530453434,0.41675157466005114,4
clean,0.12,g1_location,oracle_predictive_law,oracle_infinitesimal_tangent,witness_nrmse,0.05020791698269665,0.046396228148972846,0.0541550080715428,4
clean,0.12,g1_location,oracle_predictive_law,signed_classifier,channel_readout_nrmse,0.7167928459473814,0.6815744448545531,0.7434703260236131,4
clean,0.12,g1_location,oracle_predictive_law,signed_classifier,witness_nrmse,0.6309946085321552,0.598461851001926,0.642011246871551,4
clean,0.12,g1_location,oracle_predictive_law,signed_riesz_dictionary,channel_readout_nrmse,2.6125118644603798,2.4433138718980727,2.7473708098528924,4
clean,0.12,g1_location,oracle_predictive_law,signed_riesz_dictionary,witness_nrmse,2.4898405627388343,2.363650385173492,2.599977858330014,4
clean,0.12,g1_location,ratio_critic,central_model_log_ratio,channel_readout_nrmse,0.6077669123334037,0.5975415360014602,0.6378213361879552,8
clean,0.12,g1_location,ratio_critic,central_model_log_ratio,witness_nrmse,0.5080517371312232,0.4805091154747694,0.535597351715588,8
clean,0.12,g1_location,ratio_critic,history_tangent_finite_target,channel_readout_nrmse,0.6131903314795857,0.6055847314161045,0.6474258976625434,8
