generator_id,model_name,n_paired,mean_relative_energy_change_vs_gaussian,bootstrap_low,bootstrap_high,win_fraction,equivalent_within_5pct_fraction,primary_eligible
g7_concentrated_history,autoregressive_mdn,8,-0.008124122712998245,-0.015410535046637343,-0.0011209053331444094,0.75,1.0,True
g7_concentrated_history,bounded_energy,8,0.005069359324242343,-0.0035465933605260706,0.013044848847941416,0.25,1.0,False
g7_concentrated_history,diffusion_edm,8,-0.009326005937140565,-0.014691736879829522,-0.004308494049219501,1.0,1.0,True
g7_concentrated_history,diffusion_gaussian_anchored,8,-0.0031945697082090756,-0.00811977223162059,0.0013464343272586447,0.625,1.0,True
g7_concentrated_history,diffusion_legacy,8,0.5622695010474803,0.5188162072572505,0.6042937374586743,0.0,0.0,True
g7_concentrated_history,flow_matching,8,-0.011845499525873895,-0.018824386515920832,-0.00528111443847741,1.0,1.0,True
g7_concentrated_history,flow_matching_gaussian_source,8,0.0008174615880346737,-0.004975355448144699,0.005631575922133804,0.25,1.0,True
g7_concentrated_history,gaussian_dsm,8,0.002463863093121201,-0.0009416544588416985,0.006095541616159623,0.375,1.0,True
g7_concentrated_history,gaussian_nll,8,0.0,0.0,0.0,0.0,1.0,True
g7_concentrated_history,mean,8,0.0011379361503989088,-0.00013999875294675026,0.0029818234367407007,0.25,1.0,True
g8_functional_shape,affine_flow,8,-0.018899325316752535,-0.02204722529120824,-0.015649121296698543,1.0,1.0,True
g8_functional_shape,autoregressive_mdn,8,-0.011183572813817393,-0.01420771913138011,-0.007884008621756783,1.0,1.0,True
g8_functional_shape,autoregressive_transformer,8,-0.012517727451512995,-0.019378426010887552,-0.004786118739019124,0.875,1.0,True
g8_functional_shape,bounded_energy,8,0.0039607858504657496,0.0018414805636994638,0.005987033926448939,0.125,1.0,False
g8_functional_shape,diffusion_edm,8,-0.014168066863573268,-0.01598067443837445,-0.01225660335979989,1.0,1.0,True
g8_functional_shape,diffusion_gaussian_anchored,8,-0.010596386110866912,-0.014011253340206501,-0.006082108182432303,0.875,1.0,True
g8_functional_shape,diffusion_legacy,8,0.8027219871753815,0.7595109079562691,0.8463951420247697,0.0,0.0,True
g8_functional_shape,flow_matching,8,-0.0174096144514011,-0.02003643889810651,-0.015046972860246258,1.0,1.0,True
g8_functional_shape,flow_matching_gaussian_source,8,-0.0031566057435638995,-0.008879726605084202,0.0022603038383859587,0.625,1.0,True
g8_functional_shape,gaussian_dsm,8,0.0011827704223416262,0.0005918418442586724,0.0017208322076549824,0.125,1.0,True
g8_functional_shape,gaussian_nll,8,0.0,0.0,0.0,0.0,1.0,True
g8_functional_shape,mean,8,0.002509060664997581,0.0010753980824895672,0.004515238545967531,0.125,1.0,True
