seed,method,worm,horizon,energy,variogram,rmse,mae,coverage90,sharpness90
1701,persistence_gaussian,2,8,2.161830995231867,0.08430651901289817,0.38805642793886364,0.26489262469112873,0.9302662037037037,1.6186467688530684
1701,persistence_gaussian,2,16,3.099132537841797,0.1531439771642908,0.5472063305787742,0.3662501885555684,0.9247685185185186,2.287449464201927
1701,persistence_gaussian,2,32,4.262797325849533,0.2634211531840265,0.7588843177072704,0.5192806019913405,0.9149305555555556,3.2412916757166386
1701,persistence_gaussian,3,1,1.0922664925456047,0.028940278323716435,0.2084704784210771,0.1346311622764915,0.8871527777777778,0.5628726659342647
1701,persistence_gaussian,3,2,1.2849645409733057,0.03892709533101874,0.2482519575860351,0.1663189918035641,0.9036458333333334,0.7968832748010755
1701,persistence_gaussian,3,4,1.5712609235197306,0.05531745165353637,0.2969684877898544,0.20741346082650122,0.9186921296296297,1.1308985389769077
1701,persistence_gaussian,3,8,2.162505965679884,0.08845076238503675,0.39402437931858003,0.287805185187608,0.9068287037037037,1.5915969144552946
1701,persistence_gaussian,3,16,3.208681471645832,0.14911298733204598,0.5761396586894989,0.4390335385687649,0.8778935185185186,2.2400134280323982
1701,persistence_gaussian,3,32,4.345624223351479,0.24153240490704772,0.7969140098430216,0.6131391748785973,0.8686342592592593,3.1662549413740635
1701,persistence_gaussian,4,1,1.1948922891169786,0.03464227999211285,0.22801383072510356,0.1533129848539829,0.8405671296296297,0.5725455684587359
1701,persistence_gaussian,4,2,1.458749182522297,0.04912411907571364,0.27982352930121124,0.19418292737100268,0.8683449074074074,0.8107993705198169
1701,persistence_gaussian,4,4,1.9087604358792305,0.06981925794389096,0.3582470412366092,0.24967677972745148,0.8735532407407407,1.1456219516694546
1701,persistence_gaussian,4,8,2.5815548077225685,0.1107816147850826,0.47558053862303495,0.34333915798924863,0.8674768518518519,1.619515247642994
1701,persistence_gaussian,4,16,3.548761837184429,0.1804306205594912,0.6510722958482802,0.48011751542799175,0.8504050925925926,2.2900645062327385
1701,persistence_gaussian,4,32,4.890925824642181,0.29204521724022925,0.9045294770039618,0.6862784842960536,0.8405671296296297,3.235462162643671
1701,persistence_gaussian,5,1,0.9372040219604969,0.0255758139173849,0.1802754853852093,0.12318807188421485,0.8969907407407407,0.5647949120029807
1701,persistence_gaussian,5,2,1.2162991985678673,0.035694553327630225,0.23083652020432052,0.15809830813668665,0.9117476851851852,0.7952782865613699
1701,persistence_gaussian,5,4,1.5654483791440725,0.05467866803519423,0.2904288675636053,0.20236171525903043,0.9192708333333334,1.1281037405133247
1701,persistence_gaussian,5,8,2.2055148035287857,0.09004425478633489,0.40110063343308866,0.2770089677069336,0.9117476851851851,1.595754599198699
1701,persistence_gaussian,5,16,3.175396107137203,0.16442298865877086,0.5805610679090023,0.4030054078903049,0.8880208333333333,2.2574263028800488
1701,persistence_gaussian,5,32,4.416066452860832,0.2690242691896856,0.8009595656767488,0.5832593946252018,0.8741319444444444,3.199558347463608
1701,persistence_gaussian,6,1,1.1246439050883055,0.030667618659208477,0.21587386785540727,0.1443528987001627,0.8674768518518519,0.5761717259883881
1701,persistence_gaussian,6,2,1.387638719752431,0.04080684256041417,0.2672927847597748,0.17977315245661882,0.896701388888889,0.8192788725718856
1701,persistence_gaussian,6,4,1.7548541128635406,0.05881556490203361,0.3321367953903973,0.22680008294992143,0.9152199074074074,1.1527597475796938
1701,persistence_gaussian,6,8,2.2718315087258816,0.08803744299802925,0.4144219048321247,0.28460085042752326,0.9221643518518519,1.626721452921629
1701,persistence_gaussian,6,16,3.194768466055393,0.1481350930407643,0.575543808285147,0.3888126448728144,0.9259259259259259,2.316453669220209
1701,persistence_gaussian,6,32,4.565539121627808,0.25609492696821684,0.8209540289826691,0.5639775309246033,0.9129050925925926,3.2598371915519238
1701,persistence_gaussian,7,1,1.0338332448154688,0.028111322972108558,0.19947950250934807,0.13257613370660687,0.8831018518518519,0.5752244992181659
1701,persistence_gaussian,7,2,1.3162118084728718,0.03966370751732025,0.25364381843246514,0.1730363630922511,0.892650462962963,0.810663296841085
1701,persistence_gaussian,7,4,1.6452389918267727,0.06129669724032278,0.30965309403836727,0.2170199851971119,0.9074074074074074,1.149134824052453
1701,persistence_gaussian,7,8,2.2490792274475098,0.09977796033490444,0.41752439667470753,0.29810928902588785,0.8993055555555556,1.6198271922767162
1701,persistence_gaussian,7,16,3.3515473306179047,0.1732682627625763,0.6182020977139473,0.44126130174845457,0.8752893518518519,2.297746855765581
1701,persistence_gaussian,7,32,5.06056522578001,0.2906540159601718,0.939507866743952,0.6925251930952072,0.8411458333333334,3.2517466582357883
1701,persistence_gaussian,8,1,1.1826350055634975,0.035489691683324005,0.22568732209037987,0.15065169951412824,0.8330439814814815,0.5629322314634919
1701,persistence_gaussian,8,2,1.4573463890701532,0.04678995540598403,0.2788822669535875,0.19204527139663694,0.8625578703703703,0.7993786223232746
1701,persistence_gaussian,8,4,1.8348497450351715,0.07000954210525374,0.3467916564550251,0.24579256470315156,0.8712384259259259,1.137059347704053
1701,persistence_gaussian,8,8,2.4927911274135113,0.11224613548256453,0.45838268543593585,0.33010185440070927,0.8781828703703703,1.6009279508143663
1701,persistence_gaussian,8,16,3.458540804684162,0.1798434267984703,0.6253178394399583,0.4561593651305884,0.8709490740740741,2.257616952061653
1701,persistence_gaussian,8,32,4.537023097276688,0.2852332163602114,0.8031475441530347,0.5939083751291037,0.877025462962963,3.2098447121679783
1701,persistence_gaussian,9,1,0.9756743181496859,0.024783362910966347,0.18364236725028601,0.11644949845504012,0.904224537037037,0.5592312375083566
1701,persistence_gaussian,9,2,1.201580660417676,0.034610719798365566,0.225218249252066,0.1486590701388195,0.9201388888888888,0.7887062840163708
1701,persistence_gaussian,9,4,1.4662274215370417,0.05122281285002823,0.26468768215272576,0.18232713104225692,0.9334490740740741,1.1227245349436998
1701,persistence_gaussian,9,8,2.0082035325467587,0.08372292137937616,0.35473600239492953,0.24594668159261343,0.9328703703703703,1.5830212160944939
1701,persistence_gaussian,9,16,2.8338739164173603,0.14318715233821416,0.4992639550473541,0.3495899997651577,0.9221643518518519,2.2461772300302982
1701,persistence_gaussian,9,32,4.101453982293606,0.2466796599328518,0.721982198767364,0.5207450788002461,0.9013310185185185,3.174812089651823
1701,persistence_gaussian,10,1,1.1230164542794228,0.031853850989136796,0.21695923444349313,0.144924450200051,0.8640046296296297,0.5841189501807094
1701,persistence_gaussian,10,2,1.3640083204954863,0.04213190241716798,0.26444310136139393,0.18194549775216723,0.8914930555555556,0.823615581728518
1701,persistence_gaussian,10,4,1.7394627667963505,0.06237684556981544,0.3281475589610636,0.2272552518406883,0.9053819444444444,1.1648804191499949
1701,persistence_gaussian,10,8,2.539272241294384,0.10467550822068002,0.46763948746956885,0.3201221020426601,0.90625,1.6545569580048323
1701,persistence_gaussian,10,16,3.618589997291565,0.17635955859441305,0.6594525726977736,0.4585678423754871,0.8877314814814815,2.3303421027958393
1701,persistence_gaussian,10,32,4.995533354580402,0.29406439955346286,0.907777966465801,0.6378745634574443,0.8787615740740741,3.311700936406851
1701,persistence_gaussian,11,1,1.011679369956255,0.028780880209524136,0.1929596439003944,0.13305151811800892,0.8741319444444444,0.5752638066187501
1701,persistence_gaussian,11,2,1.2636342588812113,0.03823503467719997,0.24028768448624754,0.16511928162071848,0.9108796296296297,0.8183046011254191
1701,persistence_gaussian,11,4,1.5803309455513954,0.054750153271015685,0.2864219034090638,0.19417994283139703,0.9351851851851851,1.1512695532292128
1701,persistence_gaussian,11,8,2.105837244540453,0.08869641530327495,0.3736495724879205,0.2587786582298577,0.9340277777777778,1.6371506545692682
1701,persistence_gaussian,11,16,2.8142825961112976,0.1494616699637845,0.4914695764891803,0.342099457513541,0.9351851851851852,2.3178192861378193
1701,persistence_gaussian,11,32,3.9497675597667694,0.2592613266315311,0.685004809871316,0.4924484270159155,0.9244791666666667,3.267005790024996
