cohort,channel,context,lag,horizon,comparison,scope,n_edges,spearman,rmse,sign_agreement
clean54,endpoint_mean,state_average,8,2,generator_0_vs_1,all,2862,0.6759466154008505,0.046160996,0.7522711390635919
clean54,endpoint_mean,state_average,8,2,generator_0_vs_1,strong,1749,0.641612509160888,0.04188375,0.7444253859348199
clean54,endpoint_mean,state_average,8,2,generator_0_vs_2,all,2862,0.6879218421801846,0.046775285,0.773235499650594
clean54,endpoint_mean,state_average,8,2,generator_0_vs_2,strong,1749,0.6597078653827498,0.04265905,0.7644368210405946
clean54,endpoint_mean,state_average,8,2,generator_1_vs_2,all,2862,0.6751200117154302,0.046207305,0.7631027253668763
clean54,endpoint_mean,state_average,8,2,generator_1_vs_2,strong,1749,0.6281160033352079,0.043648336,0.7455688965122927
clean54,endpoint_mean,state_average,8,2,independent_MC,all,2862,0.9449759391279818,0.018954603,0.9105520614954578
clean54,endpoint_mean,state_average,8,2,independent_MC,strong,1749,0.940367965181056,0.016879717,0.9108061749571184
clean54,endpoint_mean,state_average,8,2,direct_N4096,all,2862,0.886952624720724,0.027705282,0.8717679944095038
clean54,endpoint_mean,state_average,8,2,direct_N4096,strong,1749,0.8672019051282468,0.026827062,0.8679245283018868
clean54,endpoint_mean,state_average,8,4,generator_0_vs_1,all,2862,0.6864694882490615,0.047480788,0.7603074772886094
clean54,endpoint_mean,state_average,8,4,generator_0_vs_1,strong,1749,0.6511160801548954,0.04262844,0.747284162378502
clean54,endpoint_mean,state_average,8,4,generator_0_vs_2,all,2862,0.6985477841880634,0.048002165,0.7721872816212438
clean54,endpoint_mean,state_average,8,4,generator_0_vs_2,strong,1749,0.6733338006063708,0.043077104,0.7667238421955404
clean54,endpoint_mean,state_average,8,4,generator_1_vs_2,all,2862,0.6877790373562981,0.047215767,0.7658979734451432
clean54,endpoint_mean,state_average,8,4,generator_1_vs_2,strong,1749,0.6394599676908731,0.04417949,0.7484276729559748
clean54,endpoint_mean,state_average,8,4,independent_MC,all,2862,0.949819592156126,0.018785225,0.9178895877009084
clean54,endpoint_mean,state_average,8,4,independent_MC,strong,1749,0.9436382409525191,0.01674705,0.9142367066895368
clean54,endpoint_mean,state_average,8,4,direct_N4096,all,2862,0.889704999699458,0.028531952,0.8770090845562544
clean54,endpoint_mean,state_average,8,4,direct_N4096,strong,1749,0.8677366150105668,0.027752806,0.8702115494568324
clean54,endpoint_mean,state_average,8,8,generator_0_vs_1,all,2862,0.6976453221262681,0.05015686,0.7624039133473096
clean54,endpoint_mean,state_average,8,8,generator_0_vs_1,strong,1749,0.6589786413232723,0.044169318,0.7541452258433391
clean54,endpoint_mean,state_average,8,8,generator_0_vs_2,all,2862,0.7134662345039601,0.050485317,0.7725366876310272
clean54,endpoint_mean,state_average,8,8,generator_0_vs_2,strong,1749,0.6910989532897049,0.043944385,0.769010863350486
