sampling_seed,spec_id,worker_sha256,checkpoint_sha256,cohort,fold,generator_seed,worm,phase,event,cut,lag,method,particles,mc_seed,contrast_fraction,steps_factor,sources,panel,file,wall_seconds,transition_samples,calls,velocity_network_sample_evaluations
91101,a1070d62c99aa323a9200e2c079b0d87e920f4c40ba5ce353ad26f2fc63d7777,e58a70c8d2997eb18a3601ae5e0822ff90346637bb5cd0ebecb82cbd68f52623,77274825c826be1ead3f9b933099aaa5f1f2ca7a9f41f6af5da46ba16e8b000f,clean54,0,1701,1,baseline,0,182,1,progressive,128,91101,1.0,1,"[0, 7, 15, 22, 30, 37, 45, 53]",convergence,runs/clean54/diagnostics/f0_convergence_baseline_e0_ell1_progressive_N128_mc91101_a1.0_steps1.npz,8.739496291032992,172032,168,8257536
91102,a1070d62c99aa323a9200e2c079b0d87e920f4c40ba5ce353ad26f2fc63d7777,e58a70c8d2997eb18a3601ae5e0822ff90346637bb5cd0ebecb82cbd68f52623,77274825c826be1ead3f9b933099aaa5f1f2ca7a9f41f6af5da46ba16e8b000f,clean54,0,1701,1,baseline,0,182,1,progressive,128,91102,1.0,1,"[0, 7, 15, 22, 30, 37, 45, 53]",convergence,runs/clean54/diagnostics/f0_convergence_baseline_e0_ell1_progressive_N128_mc91102_a1.0_steps1.npz,8.746182166971266,172032,168,8257536
91103,a1070d62c99aa323a9200e2c079b0d87e920f4c40ba5ce353ad26f2fc63d7777,e58a70c8d2997eb18a3601ae5e0822ff90346637bb5cd0ebecb82cbd68f52623,77274825c826be1ead3f9b933099aaa5f1f2ca7a9f41f6af5da46ba16e8b000f,clean54,0,1701,1,baseline,0,182,1,progressive,128,91103,1.0,1,"[0, 7, 15, 22, 30, 37, 45, 53]",convergence,runs/clean54/diagnostics/f0_convergence_baseline_e0_ell1_progressive_N128_mc91103_a1.0_steps1.npz,8.792222458985634,172032,168,8257536
91101,a1070d62c99aa323a9200e2c079b0d87e920f4c40ba5ce353ad26f2fc63d7777,e58a70c8d2997eb18a3601ae5e0822ff90346637bb5cd0ebecb82cbd68f52623,77274825c826be1ead3f9b933099aaa5f1f2ca7a9f41f6af5da46ba16e8b000f,clean54,0,1701,1,baseline,0,182,1,progressive,512,91101,1.0,1,"[0, 7, 15, 22, 30, 37, 45, 53]",convergence,runs/clean54/diagnostics/f0_convergence_baseline_e0_ell1_progressive_N512_mc91101_a1.0_steps1.npz,34.72115075000329,688128,672,33030144
91102,a1070d62c99aa323a9200e2c079b0d87e920f4c40ba5ce353ad26f2fc63d7777,e58a70c8d2997eb18a3601ae5e0822ff90346637bb5cd0ebecb82cbd68f52623,77274825c826be1ead3f9b933099aaa5f1f2ca7a9f41f6af5da46ba16e8b000f,clean54,0,1701,1,baseline,0,182,1,progressive,512,91102,1.0,1,"[0, 7, 15, 22, 30, 37, 45, 53]",convergence,runs/clean54/diagnostics/f0_convergence_baseline_e0_ell1_progressive_N512_mc91102_a1.0_steps1.npz,34.72501012502471,688128,672,33030144
91103,a1070d62c99aa323a9200e2c079b0d87e920f4c40ba5ce353ad26f2fc63d7777,e58a70c8d2997eb18a3601ae5e0822ff90346637bb5cd0ebecb82cbd68f52623,77274825c826be1ead3f9b933099aaa5f1f2ca7a9f41f6af5da46ba16e8b000f,clean54,0,1701,1,baseline,0,182,1,progressive,512,91103,1.0,1,"[0, 7, 15, 22, 30, 37, 45, 53]",convergence,runs/clean54/diagnostics/f0_convergence_baseline_e0_ell1_progressive_N512_mc91103_a1.0_steps1.npz,34.71279420796782,688128,672,33030144
91101,a1070d62c99aa323a9200e2c079b0d87e920f4c40ba5ce353ad26f2fc63d7777,e58a70c8d2997eb18a3601ae5e0822ff90346637bb5cd0ebecb82cbd68f52623,77274825c826be1ead3f9b933099aaa5f1f2ca7a9f41f6af5da46ba16e8b000f,clean54,0,1701,1,baseline,0,182,1,progressive,64,91101,1.0,1,"[0, 7, 15, 22, 30, 37, 45, 53]",convergence,runs/clean54/diagnostics/f0_convergence_baseline_e0_ell1_progressive_N64_mc91101_a1.0_steps1.npz,4.519570582953747,86016,84,4128768
91102,a1070d62c99aa323a9200e2c079b0d87e920f4c40ba5ce353ad26f2fc63d7777,e58a70c8d2997eb18a3601ae5e0822ff90346637bb5cd0ebecb82cbd68f52623,77274825c826be1ead3f9b933099aaa5f1f2ca7a9f41f6af5da46ba16e8b000f,clean54,0,1701,1,baseline,0,182,1,progressive,64,91102,1.0,1,"[0, 7, 15, 22, 30, 37, 45, 53]",convergence,runs/clean54/diagnostics/f0_convergence_baseline_e0_ell1_progressive_N64_mc91102_a1.0_steps1.npz,4.435983749979641,86016,84,4128768
91103,a1070d62c99aa323a9200e2c079b0d87e920f4c40ba5ce353ad26f2fc63d7777,e58a70c8d2997eb18a3601ae5e0822ff90346637bb5cd0ebecb82cbd68f52623,77274825c826be1ead3f9b933099aaa5f1f2ca7a9f41f6af5da46ba16e8b000f,clean54,0,1701,1,baseline,0,182,1,progressive,64,91103,1.0,1,"[0, 7, 15, 22, 30, 37, 45, 53]",convergence,runs/clean54/diagnostics/f0_convergence_baseline_e0_ell1_progressive_N64_mc91103_a1.0_steps1.npz,4.449355374963488,86016,84,4128768
195830,a1070d62c99aa323a9200e2c079b0d87e920f4c40ba5ce353ad26f2fc63d7777,e58a70c8d2997eb18a3601ae5e0822ff90346637bb5cd0ebecb82cbd68f52623,77274825c826be1ead3f9b933099aaa5f1f2ca7a9f41f6af5da46ba16e8b000f,clean54,0,1701,1,baseline,0,182,4,direct,16384,91101,1.0,1,"[0, 7, 15, 22, 30, 37, 45, 53]",convergence,runs/clean54/diagnostics/f0_convergence_baseline_e0_ell4_direct_N16384_mc91101_a1.0_steps1.npz,33.09515620797174,655360,40,31457280
