fold,phase,lag,source,target,horizon,contrast_fraction,steps_factor,effect_mean,effect_sd,gap_mean,valid_fraction
0,baseline,1,ADE,ASG,32,1.0,2,0.0556425700585047,0.03480946160883402,0.5426829755306244,1.0
0,baseline,1,ADE,ASH,1,1.0,1,-0.05112572324772673,0.08907752614540902,0.5481003721555074,1.0
0,baseline,1,ADE,ASH,1,1.0,2,-0.086911395813028,0.08522889284069372,0.5426829755306244,1.0
0,baseline,1,ADE,ASH,2,1.0,1,-0.05288266018033027,0.08869759153085559,0.5481003721555074,1.0
0,baseline,1,ADE,ASH,2,1.0,2,-0.08739170276870323,0.08773446656321436,0.5426829755306244,1.0
0,baseline,1,ADE,ASH,4,1.0,1,-0.05867323131921387,0.09087847484576884,0.5481003721555074,1.0
0,baseline,1,ADE,ASH,4,1.0,2,-0.0853984220108638,0.08995342839102835,0.5426829755306244,1.0
0,baseline,1,ADE,ASH,8,1.0,1,-0.06470972920457517,0.08746414987141161,0.5481003721555074,1.0
0,baseline,1,ADE,ASH,8,1.0,2,-0.08045087226976949,0.09677946100732888,0.5426829755306244,1.0
0,baseline,1,ADE,ASH,16,1.0,1,-0.031468149585028506,0.09197705486313172,0.5481003721555074,1.0
0,baseline,1,ADE,ASH,16,1.0,2,-0.03460215404629704,0.09444337270620484,0.5426829755306244,1.0
0,baseline,1,ADE,ASH,32,1.0,1,0.04041451464096707,0.10196851800726763,0.5481003721555074,1.0
0,baseline,1,ADE,ASH,32,1.0,2,0.04929379870494207,0.0946661848509425,0.5426829755306244,1.0
0,baseline,1,ADE,ASI,1,1.0,1,-0.020507770726302,0.020405016358190777,0.5481003721555074,1.0
0,baseline,1,ADE,ASI,1,1.0,2,-0.004030030220746966,0.1530171876353922,0.5426829755306244,1.0
0,baseline,1,ADE,ASI,2,1.0,1,-0.025324951624497768,0.024981170097564676,0.5481003721555074,1.0
0,baseline,1,ADE,ASI,2,1.0,2,-0.009965922683477402,0.15095788614682548,0.5426829755306244,1.0
0,baseline,1,ADE,ASI,4,1.0,1,-0.03802134116025017,0.03386109135555202,0.5481003721555074,1.0
0,baseline,1,ADE,ASI,4,1.0,2,-0.024539239704608935,0.14793137822439242,0.5426829755306244,1.0
0,baseline,1,ADE,ASI,8,1.0,1,-0.026825352261463764,0.053074731523614326,0.5481003721555074,1.0
