rho,horizon,n_train,frequency_band,method,nrmse,coverage,rho_abs_error,max_inverse_attenuation,seeds
0.9,16,32000,low,ZERO,1.0,0.0,0.011989993940929259,1.0158650121325503,10
0.9,16,32000,wide,CF_DECONV_ESTIMATED_ORTH,0.20705783411939843,0.5833333333333333,0.011989993940929259,1.0976004478287684,10
0.9,16,32000,wide,CF_DECONV_ESTIMATED_PLUG,0.20654989090387899,0.1,0.011989993940929259,1.0976004478287684,10
0.9,16,32000,wide,CF_DECONV_ESTIMATED_RIESZ,0.2066679002739666,0.8291666666666666,0.011989993940929259,1.0976004478287684,10
0.9,16,32000,wide,CF_DECONV_KNOWN_ORTH,0.06892833925859806,0.95,0.0,1.1033797718159013,10
0.9,16,32000,wide,CF_DECONV_KNOWN_PLUG,0.06849523557368528,0.2,0.0,1.1033797718159013,10
0.9,16,32000,wide,CF_DECONV_KNOWN_RIESZ,0.0677208635700359,1.0,0.0,1.1033797718159013,10
0.9,16,32000,wide,LATENT_ORACLE_ORTH,0.05640583857295519,0.95,0.011989993940929259,1.0,10
0.9,16,32000,wide,LATENT_ORACLE_PLUG,0.05595051239257539,0.2916666666666667,0.011989993940929259,1.0,10
0.9,16,32000,wide,LATENT_ORACLE_RIESZ,0.05642867918630756,1.0,0.011989993940929259,1.0,10
0.9,16,32000,wide,POINT_ESTIMATED_ORTH,0.21478350343622532,0.55,0.011989993940929259,1.0976004478287684,10
0.9,16,32000,wide,POINT_ESTIMATED_PLUG,0.21415326633826975,0.08333333333333333,0.011989993940929259,1.0976004478287684,10
0.9,16,32000,wide,POINT_ESTIMATED_RIESZ,0.21368744109081267,0.8,0.011989993940929259,1.0976004478287684,10
0.9,16,32000,wide,POINT_KNOWN_ORTH,0.10550326553399551,0.8875,0.0,1.1033797718159013,10
0.9,16,32000,wide,POINT_KNOWN_PLUG,0.10627323510907824,0.1333333333333333,0.0,1.1033797718159013,10
0.9,16,32000,wide,POINT_KNOWN_RIESZ,0.10256132121334012,0.9625,0.0,1.1033797718159013,10
0.9,16,32000,wide,ZERO,1.0,0.0,0.011989993940929259,1.1033797718159013,10
0.9,64,8000,low,CF_DECONV_ESTIMATED_ORTH,0.5758073673746917,0.85,0.01640965729924976,1.0157497676039615,10
0.9,64,8000,low,CF_DECONV_ESTIMATED_PLUG,0.5928620833584863,0.0125,0.01640965729924976,1.0157497676039615,10
0.9,64,8000,low,CF_DECONV_ESTIMATED_RIESZ,0.5863578948858498,1.0,0.01640965729924976,1.0157497676039615,10
0.9,64,8000,low,CF_DECONV_KNOWN_ORTH,0.5130142854931854,0.95,0.0,1.0153161289851902,10
0.9,64,8000,low,CF_DECONV_KNOWN_PLUG,0.5367654951507551,0.2,0.0,1.0153161289851902,10
0.9,64,8000,low,CF_DECONV_KNOWN_RIESZ,0.5268267003568863,1.0,0.0,1.0153161289851902,10
0.9,64,8000,low,LATENT_ORACLE_ORTH,0.4488577802206949,0.80625,0.01640965729924976,1.0,10
0.9,64,8000,low,LATENT_ORACLE_PLUG,0.47642017461524916,0.2625,0.01640965729924976,1.0,10
0.9,64,8000,low,LATENT_ORACLE_RIESZ,0.4736085366432664,0.9,0.01640965729924976,1.0,10
0.9,64,8000,low,POINT_ESTIMATED_ORTH,0.5705861987146854,0.85,0.01640965729924976,1.0157497676039615,10
0.9,64,8000,low,POINT_ESTIMATED_PLUG,0.5864591500106855,0.00625,0.01640965729924976,1.0157497676039615,10
0.9,64,8000,low,POINT_ESTIMATED_RIESZ,0.5806699724899731,1.0,0.01640965729924976,1.0157497676039615,10
0.9,64,8000,low,POINT_KNOWN_ORTH,0.5098820095849337,0.95,0.0,1.0153161289851902,10
0.9,64,8000,low,POINT_KNOWN_PLUG,0.5333079414225181,0.2,0.0,1.0153161289851902,10
0.9,64,8000,low,POINT_KNOWN_RIESZ,0.5238283711974017,1.0,0.0,1.0153161289851902,10
0.9,64,8000,low,ZERO,1.0,0.0,0.01640965729924976,1.0153161289851902,10
0.9,64,8000,wide,CF_DECONV_ESTIMATED_ORTH,0.28619639718223344,0.7625,0.01640965729924976,1.1028062145839506,10
0.9,64,8000,wide,CF_DECONV_ESTIMATED_PLUG,0.28493586725791,0.054166666666666655,0.01640965729924976,1.1028062145839506,10
0.9,64,8000,wide,CF_DECONV_ESTIMATED_RIESZ,0.2830398370957063,0.9,0.01640965729924976,1.1028062145839506,10
0.9,64,8000,wide,CF_DECONV_KNOWN_ORTH,0.14215669639305045,0.95,0.0,1.0996590003450963,10
0.9,64,8000,wide,CF_DECONV_KNOWN_PLUG,0.14603953247053153,0.20416666666666666,0.0,1.0996590003450963,10
0.9,64,8000,wide,CF_DECONV_KNOWN_RIESZ,0.13994170588325378,1.0,0.0,1.0996590003450963,10
0.9,64,8000,wide,LATENT_ORACLE_ORTH,0.12553424785678,0.8,0.01640965729924976,1.0,10
0.9,64,8000,wide,LATENT_ORACLE_PLUG,0.13169854966266106,0.2791666666666667,0.01640965729924976,1.0,10
0.9,64,8000,wide,LATENT_ORACLE_RIESZ,0.12824388686937035,0.9,0.01640965729924976,1.0,10
0.9,64,8000,wide,POINT_ESTIMATED_ORTH,0.26904779614328633,0.7541666666666667,0.01640965729924976,1.1028062145839506,10
0.9,64,8000,wide,POINT_ESTIMATED_PLUG,0.267377219060726,0.0458333333333333,0.01640965729924976,1.1028062145839506,10
0.9,64,8000,wide,POINT_ESTIMATED_RIESZ,0.2655852930573891,0.9041666666666666,0.01640965729924976,1.1028062145839506,10
0.9,64,8000,wide,POINT_KNOWN_ORTH,0.1721353707400023,0.9166666666666666,0.0,1.0996590003450963,10
0.9,64,8000,wide,POINT_KNOWN_PLUG,0.1682383077665233,0.2375,0.0,1.0996590003450963,10
0.9,64,8000,wide,POINT_KNOWN_RIESZ,0.1650237630107519,0.9875,0.0,1.0996590003450963,10
0.9,64,8000,wide,ZERO,1.0,0.0,0.01640965729924976,1.0996590003450963,10
0.9,64,32000,low,CF_DECONV_ESTIMATED_ORTH,0.268272094958357,0.64375,0.01225390717269714,1.0146996153381092,10
0.9,64,32000,low,CF_DECONV_ESTIMATED_PLUG,0.2665873842584676,0.05625,0.01225390717269714,1.0146996153381092,10
0.9,64,32000,low,CF_DECONV_ESTIMATED_RIESZ,0.26449956646197503,0.99375,0.01225390717269714,1.0146996153381092,10
0.9,64,32000,low,CF_DECONV_KNOWN_ORTH,0.2618361357576699,0.95,0.0,1.0153161289851902,10
0.9,64,32000,low,CF_DECONV_KNOWN_PLUG,0.2618800706728824,0.21875,0.0,1.0153161289851902,10
0.9,64,32000,low,CF_DECONV_KNOWN_RIESZ,0.26561707907541204,1.0,0.0,1.0153161289851902,10
0.9,64,32000,low,LATENT_ORACLE_ORTH,0.25754974129300623,0.95,0.01225390717269714,1.0,10
0.9,64,32000,low,LATENT_ORACLE_PLUG,0.25083400365145103,0.25,0.01225390717269714,1.0,10
0.9,64,32000,low,LATENT_ORACLE_RIESZ,0.2602820612661878,1.0,0.01225390717269714,1.0,10
0.9,64,32000,low,POINT_ESTIMATED_ORTH,0.2636789873034906,0.64375,0.01225390717269714,1.0146996153381092,10
0.9,64,32000,low,POINT_ESTIMATED_PLUG,0.2618389691564301,0.075,0.01225390717269714,1.0146996153381092,10
0.9,64,32000,low,POINT_ESTIMATED_RIESZ,0.2591556442291214,0.99375,0.01225390717269714,1.0146996153381092,10
0.9,64,32000,low,POINT_KNOWN_ORTH,0.2567936106406109,0.95,0.0,1.0153161289851902,10
0.9,64,32000,low,POINT_KNOWN_PLUG,0.2565846745339893,0.2375,0.0,1.0153161289851902,10
0.9,64,32000,low,POINT_KNOWN_RIESZ,0.25970119810321235,1.0,0.0,1.0153161289851902,10
0.9,64,32000,low,ZERO,1.0,0.0,0.01225390717269714,1.0153161289851902,10
0.9,64,32000,wide,CF_DECONV_ESTIMATED_ORTH,0.17074009413883914,0.5458333333333333,0.01225390717269714,1.095606980079721,10
0.9,64,32000,wide,CF_DECONV_ESTIMATED_PLUG,0.17028167677284092,0.06666666666666664,0.01225390717269714,1.095606980079721,10
0.9,64,32000,wide,CF_DECONV_ESTIMATED_RIESZ,0.16877992199009445,0.8875,0.01225390717269714,1.095606980079721,10
0.9,64,32000,wide,CF_DECONV_KNOWN_ORTH,0.06926857206098647,0.95,0.0,1.0996590003450963,10
