audit,intercept_scheme,response_dim,n_train,method,covariance_nrmse,feature_nrmse,response_angle,source_angle,coverage,null_fwer,selected_rank,seeds
inversion_ridge_1e-8,identified,8,32000,RIESZ_CHARACTERISTIC_INVERSION,1.2354246791282013,2.121185911732767,62.10093051642175,71.80292100580954,0.97724609375,0.1,5.1,10
inversion_ridge_1e-8,identified,8,128000,ORACLE_CHARACTERISTIC_INVERSION,0.01108724572172942,0.0,0.265658651542861,7.959449369008516e-13,1.0,0.0,2.9,10
inversion_ridge_1e-8,identified,8,128000,ORTH_CHARACTERISTIC_INVERSION,0.10555965930763714,1.0122660695054697,2.683168209948003,7.578940406513399,0.953125,0.0,2.9,10
inversion_ridge_1e-8,identified,8,128000,PLUG_CHARACTERISTIC_INVERSION,0.10533176338841435,1.008992964937104,2.6639731276111407,7.592670824249605,0.05009765625,1.0,2.9,10
inversion_ridge_1e-8,identified,8,128000,RIESZ_CHARACTERISTIC_INVERSION,0.49249961106985046,1.0607623665506085,48.13026072963674,49.94360640547585,0.97626953125,0.0,4.2,10
response_dim_32_replication,identified,32,32000,ORACLE_RESPONSE_SUBSPACE_PROJECTED,0.14886636232709036,0.14886636232709036,5.4285369832976395e-14,14.917044910946435,0.9485953282828282,0.1,3.0,30
response_dim_32_replication,identified,32,32000,ORTH_DIRECT_COV,0.47527422125361707,0.47527422125361707,7.110611376717694,16.1328985940017,0.9485953282828282,0.1,3.0,30
response_dim_32_replication,identified,32,32000,ORTH_DIRECT_COV_LOW_RANK_EFFECTIVE,0.17708882954449,0.17708882954449,7.110611376717694,15.121206595707553,0.9485953282828282,0.1,3.0,30
response_dim_32_replication,identified,32,32000,PLUG_DIRECT_COV,0.4742941750454485,0.4742941750454485,7.041781004143811,16.312402018262794,0.05288036616161611,1.0,3.0,30
response_dim_32_replication,identified,32,32000,RIESZ_DIRECT_COV,0.4731922353822981,0.4731922353822981,7.0627899045261335,16.03695855528927,0.9528645833333333,0.1,3.0,30
response_dim_32_replication,identified,32,32000,ZERO,1.0,1.0,90.0,90.0,0.0,0.0,0.0,30
