dgp_family,cell_id,n_train,method,target_abs_error,coverage,alpha_nrmse,oracle_representer_norm,seeds
student_t,student_t_nu5_n32000_w128_r1e-03,32000,OR_A,0.0017282544227758198,0.9,0.0,0.9053760155777203,10
student_t,student_t_nu5_n32000_w128_r1e-03,32000,OR_M_TARGETED,0.00171361732744564,0.9,0.09398200371323188,0.9053760155777203,10
student_t,student_t_nu5_n32000_w128_r1e-03,32000,OR_PW,0.0008776124647601906,0.9,0.0,0.9053760155777203,10
student_t,student_t_nu5_n32000_w128_r1e-03,32000,OR_R,0.00206049521290666,1.0,0.0,0.9053760155777203,10
student_t,student_t_nu5_n32000_w128_r1e-03,32000,PLUG,0.0019850240016215798,0.6,0.0,0.9053760155777203,10
student_t,student_t_nu5_n32000_w128_r1e-03,32000,RIESZ_DENSITY_SCORE,0.00377349598793459,0.9,0.17152843124672595,0.9053760155777203,10
student_t,student_t_nu5_n32000_w128_r1e-03,32000,RIESZ_TARGETED,0.0020269110005732604,1.0,0.09398200371323188,0.9053760155777203,10
student_t,student_t_nu5_n8000_w128_r1e-03,8000,ORTH_DENSITY_SCORE,0.00252605453220161,1.0,0.1784725133448256,0.9047908836448828,10
student_t,student_t_nu5_n8000_w128_r1e-03,8000,ORTH_TARGETED,0.00275463994439489,1.0,0.15071756513071774,0.9047908836448828,10
student_t,student_t_nu5_n8000_w128_r1e-03,8000,OR_A,0.002465957055090684,1.0,0.0,0.9047908836448828,10
student_t,student_t_nu5_n8000_w128_r1e-03,8000,OR_M_TARGETED,0.00243994005495544,1.0,0.15071756513071774,0.9047908836448828,10
student_t,student_t_nu5_n8000_w128_r1e-03,8000,OR_PW,0.0014851967641733408,1.0,0.0,0.9047908836448828,10
student_t,student_t_nu5_n8000_w128_r1e-03,8000,OR_R,0.005067434106927561,0.8,0.0,0.9047908836448828,10
student_t,student_t_nu5_n8000_w128_r1e-03,8000,PLUG,0.002234379782685311,0.9,0.0,0.9047908836448828,10
student_t,student_t_nu5_n8000_w128_r1e-03,8000,RIESZ_DENSITY_SCORE,0.0029112442455666602,1.0,0.1784725133448256,0.9047908836448828,10
student_t,student_t_nu5_n8000_w128_r1e-03,8000,RIESZ_TARGETED,0.006779661575228931,1.0,0.15071756513071774,0.9047908836448828,10
