case_id,data_seed,energy_score_fair,generator_seed,minus_best_epoch,minus_fit_seconds,model_name,model_seed,plus_best_epoch,plus_fit_seconds,quartic_nrmse,quartic_slope,status,wall_seconds
g61_d607_m6001_autoregressive_mdn,607,0.7276615824751363,61,5,4.295721417001914,autoregressive_mdn,6001,8,5.061448916996596,0.8372767210908456,0.16714031376185626,ok,9.588091458019335
g61_d607_m6001_diffusion_edm,607,0.7141618577428419,61,59,0.6777382500004023,diffusion_edm,6001,58,0.7313291250029579,0.6839354902949725,0.31717777103624567,ok,1.667333666991908
g61_d607_m6001_flow_matching,607,0.7104566527784238,61,59,0.5963667920150328,flow_matching,6001,58,0.5931122500041965,0.9730408294920818,0.02703735379539606,ok,1.4290496250032447
g61_d607_m6001_gaussian_nll,607,0.7245352148683928,61,29,0.39242320897756144,gaussian_nll,6001,29,0.37736262497492135,0.9995398817729211,0.0004602349777513245,ok,0.8070886670029722
g61_d607_m6007_affine_flow,607,0.7081095014020992,61,33,2.439410792023409,affine_flow,6007,39,2.8251593750028405,0.7592098876532235,0.24272158798733479,ok,5.353132749994984
g61_d607_m6007_autoregressive_mdn,607,0.7222685945914499,61,6,4.561345750000328,autoregressive_mdn,6007,5,4.281443875021068,0.8299268795862005,0.1737105097266675,ok,9.069269125000574
g61_d607_m6007_diffusion_edm,607,0.7099926229224893,61,59,0.6460612919763662,diffusion_edm,6007,59,0.6439011249749456,0.7153234688978655,0.28582322082465644,ok,1.5463737919926643
g61_d607_m6007_flow_matching,607,0.7079974171029356,61,58,0.585270416981075,flow_matching,6007,59,0.6016995829995722,0.9702277978974433,0.02988768066058321,ok,1.4272361670155078
g61_d607_m6007_gaussian_nll,607,0.7254676697612142,61,23,0.32222566701238975,gaussian_nll,6007,16,0.25526962502044626,0.9998021014337207,0.0001979832095877423,ok,0.6129583749861922
g67_d601_m6001_affine_flow,601,0.6995208943761826,67,31,2.3225076249800622,affine_flow,6001,29,2.198716291983146,0.6314116733636387,0.36926876491925475,ok,4.609723583998857
g67_d601_m6001_autoregressive_mdn,601,0.7064926415014291,67,7,4.826570541015826,autoregressive_mdn,6001,7,4.878537916985806,0.7722070185332509,0.22930071733251964,ok,9.93140204201336
g67_d601_m6001_diffusion_edm,601,0.6936568767356354,67,59,0.6399227090005297,diffusion_edm,6001,59,0.6328552910126746,0.6099146241680072,0.39086730081988386,ok,1.5305912919866387
g67_d601_m6001_flow_matching,601,0.6944145367964865,67,59,0.586668624979211,flow_matching,6001,58,0.5919754999922588,0.946559879232133,0.05352062687779474,ok,1.418276500015054
g67_d601_m6001_gaussian_nll,601,0.7099275961424564,67,24,0.3277393330063205,gaussian_nll,6001,23,0.32072295900434256,0.9998556793987327,0.00014441818494837137,ok,0.6844358750095125
g67_d601_m6007_affine_flow,601,0.6955476829839543,67,33,2.5254447080078535,affine_flow,6007,36,2.660807709005894,0.7837351036286574,0.21816610925562654,ok,5.277834832988447
g67_d601_m6007_autoregressive_mdn,601,0.7024784192818848,67,8,5.074446000013268,autoregressive_mdn,6007,7,4.887870667007519,0.7892956494486884,0.2195606579205207,ok,10.190407791989855
g67_d601_m6007_diffusion_edm,601,0.6926451689171348,67,59,0.6364975839969702,diffusion_edm,6007,57,0.6466502909897827,0.678445773664874,0.3233527688131938,ok,1.539661332994001
g67_d601_m6007_flow_matching,601,0.6944498431683015,67,59,0.5904347910254728,flow_matching,6007,59,0.5911144580168184,0.9540000427768596,0.04610594516116596,ok,1.4216850420052651
g67_d601_m6007_gaussian_nll,601,0.7113240128284456,67,22,0.3134678330097813,gaussian_nll,6007,23,0.32170783399487846,1.0002102201740914,-0.00020973541313889252,ok,0.6709386250004172
g67_d607_m6001_affine_flow,607,0.7021198633552702,67,23,1.8663430000015069,affine_flow,6001,32,2.3829244999797083,0.6830209401773363,0.31857732626876173,ok,4.3403797920036595
g67_d607_m6001_autoregressive_mdn,607,0.7113376242843467,67,7,4.8378789169946685,autoregressive_mdn,6001,6,4.554277999995975,0.7751278808829998,0.2267346062175898,ok,9.619811166980071
g67_d607_m6001_diffusion_edm,607,0.7030526843005355,67,58,0.6433303329977207,diffusion_edm,6001,59,0.6414195830002427,0.6076933833199678,0.39344614076742246,ok,1.5601450410031248
